,2019-2025 Training,2022-2025 Training
MAE,2755.354570132537,4028.0493721916223
RMSE,3266.2658562141132,5142.209754631674
WAPE,0.04929695257246054,0.07206715281326145
R2,-0.18210281076841883,-1.9298930234865752
