feature,std_coefficient,abs_std_coefficient,p_value,significant_p<0.05
trend,7551.538678054734,7551.538678054734,9.774647604067499e-06,True
total_homeless_lag1,2604.7418710248785,2604.7418710248785,0.11377469061260564,False
month_cos,-1321.6920802714662,1321.6920802714662,0.01584878640838217,True
unemployment_rate_lag1,1280.0952643019705,1280.0952643019705,0.03507425722664044,True
month_sin,-441.68521911218477,441.68521911218477,0.38782497604666366,False
