experiment,model,order,seasonal_order,trend,AIC,MAE,RMSE,WAPE_%,R2,is_best_in_experiment
Range 1: Train 2019–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 0, 2)","(0, 0, 0, 12)",None,1017.2894731560996,4601.733154924011,5512.18429346388,8.233111758044856,-2.366663002972006,False
Range 1: Train 2019–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,2749.0413051907776,3118.2406680528493,4.918399987817397,-0.07738630432907212,True
Range 1: Train 2019–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,3105.588293947166,3868.6530312823033,5.556309902755562,-0.6583330246301327,False
Range 1: Train 2019–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 1, 0)","(1, 0, 0, 12)",t,523.3868341777155,3536.550795541978,4828.451998469715,6.327359053087108,-1.5832594360978658,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,3126.957332990965,3533.912017482873,5.594541951569901,-0.38376918007702154,True
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,5038.791340584631,5996.478084105444,9.015066896721649,-2.9842326437948876,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738,False
