feature,std_coefficient,abs_std_coefficient,p_value,significant_p<0.05
trend,8944.532305682184,8944.532305682184,1.5995395666264654e-06,True
unemployment_rate_lag1,-2197.905493079486,2197.905493079486,0.028700456150451737,True
total_homeless_lag1,1792.3483153798315,1792.3483153798315,0.14122858330354587,False
month_cos,-1085.8520117302792,1085.8520117302792,0.07369197530161352,False
month_sin,71.81187271838496,71.81187271838496,0.8999642922533849,False
