experiment,model,order,seasonal_order,trend,AIC,MAE,RMSE,WAPE_%,R2,is_best_in_experiment
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 1, 2)","(0, 0, 1, 12)",None,1168.572272270891,1922.47666141997,2735.0499350787168,3.4395660662694256,0.17113708735870525,True
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,2984.675044855221,3287.188300769276,5.339980041964506,-0.19729550786931305,False
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,2522.706867962685,3002.705122029074,4.513457620744432,0.0009722368961110339,False
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 1, 0)","(1, 0, 0, 12)",t,523.3868341777155,3536.550795541978,4828.451998469715,6.327359053087108,-1.5832594360978658,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,3126.957332990965,3533.912017482873,5.594541951569901,-0.38376918007702154,True
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,5038.791340584631,5996.478084105444,9.015066896721649,-2.9842326437948876,False
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738,False
