model,n_forecasts,MAE,RMSE,WAPE_%,WAPE_std_%,Bias,R2
Holt-Winters (damped) [reference],153,2771.4077155096525,3322.0707468539536,5.995617811758439,2.364904198793484,-405.25060972037215,0.8719629575622891
GAM,153,3640.6865768618823,5657.8984342147205,7.8762013849877865,12.036908162676838,79.0784550874952,0.6286117375020177
Naive [reference],153,4120.803921568628,5122.61250941047,8.914879341878933,4.785956200394951,-1343.1437908496732,0.6955605762554914
Seasonal Naive [reference],153,6586.424836601307,7915.678816798908,14.248963025230282,8.491824533247858,-6545.444444444444,0.2730672955012976
