experiment,model,order,seasonal_order,trend,AIC,MAE,RMSE,WAPE_%,Bias,R2,is_best_in_experiment,ets_trend,ets_damped,ets_seasonal
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,SARIMAX (No Exog),"(2, 0, 0)","(1, 1, 1, 12)",None,985.2366908250112,2746.7005532731832,3499.6110822243268,4.914212071767811,-281.55391537713996,-0.35703720375205283,False,,,
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Auto-ETS,,,,1491.115198407502,2973.5377219057336,3706.861822339336,5.320053892089768,601.2385494394766,-0.5225269294548793,False,add,False,add
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Holt-Winters (damped) [reference],,,,,2984.675044855221,3287.188300769276,5.339980041964506,1473.5259840271265,-0.19729550786931305,True,,,
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Seasonal Naive [reference],,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-4068.5833333333335,-2.5048182389405738,False,,,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,SARIMAX (No Exog),"(2, 1, 1)","(0, 1, 0, 12)",t,509.1523578545274,3686.8137556138245,4866.326129691287,6.596199444677911,-3260.4070714138347,-1.623944288223,False,,,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Auto-ETS,,,,861.5028674386801,3315.681724671367,3886.8605886394894,5.932194952268382,1728.6714791637103,-0.673979425016743,False,add,True,add
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Holt-Winters (damped) [reference],,,,,3126.957332990965,3533.912017482873,5.594541951569901,1243.6884419141443,-0.38376918007702154,True,,,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Seasonal Naive [reference],,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-4068.5833333333335,-2.5048182389405738,False,,,
