model,n_forecasts,MAE,RMSE,WAPE_%,Bias,R2
Holt-Winters (damped) [reference],153,2771.4077155096525,3322.0707468539536,5.995617811758439,-405.25060972037215,0.8719629575622891
Auto-ETS,153,3712.5524125363636,4492.796359606536,8.031674750388152,-1859.3497753003521,0.765819166061828
Seasonal Naive [reference],153,6586.424836601307,7915.678816798908,14.248963025230282,-6545.444444444444,0.2730672955012976
SARIMAX (No Exog),135,10686.81646942011,41502.64842167438,22.387258347569997,-8732.51318988929,-21.622111578922144
