model,n_forecasts,MAE,RMSE,WAPE_%,WAPE_std_%,Bias,R2
Holt-Winters (damped) [reference],153,2771.4077155096525,3322.0707468539536,5.995617811758439,2.364904198793484,-405.25060972037215,0.8719629575622891
Auto-ETS,153,3712.5524125363636,4492.796359606536,8.031674750388152,3.2241718758875844,-1859.3497753003521,0.765819166061828
Naive [reference],153,4120.803921568628,5122.61250941047,8.914879341878933,4.785956200394951,-1343.1437908496732,0.6955605762554914
Seasonal Naive [reference],153,6586.424836601307,7915.678816798908,14.248963025230282,8.491824533247858,-6545.444444444444,0.2730672955012976
SARIMAX (No Exog),135,10686.81646942011,41502.64842167438,22.387258347569997,130.82125455781352,-8732.51318988929,-21.622111578922144
