experiment,order,seasonal_order,trend,AIC,SARIMAX_MAE,SARIMAX_RMSE,SARIMAX_WAPE_%,SARIMAX_R2,Naive_MAE,Naive_RMSE,Naive_WAPE_%,Naive_R2
Range 1: Train 2019–2025-06 / Test 2025-07 onward,"(2, 0, 2)","(0, 0, 0, 12)",None,1017.2894733707645,4601.770660544433,5512.22127840745,8.23317886058081,-2.366708181526381,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738
Range 2: Train 2022–2025-06 / Test 2025-07 onward,"(2, 1, 0)","(1, 0, 0, 12)",t,524.0594681048859,3243.1259685241603,4442.708874632448,5.802383068584904,-1.1869955465145243,4151.583333333333,5624.146905679711,7.4277339440239984,-2.5048182389405738
