model,n_forecasts,MAE,RMSE,WAPE_%,Bias,R2
Holt-Winters (damped) [reference],153,2771.4077155096525,3322.0707468539536,5.995617811758439,-405.25060972037215,0.8719629575622891
Ridge Regression (10 Indicators),153,3429.804744552197,4209.679681248358,7.419983101803967,-682.9768529683106,0.7944033745198869
Naive [reference],153,4120.803921568628,5122.61250941047,8.914879341878933,-1343.1437908496732,0.6955605762554914
Seasonal Naive [reference],153,6586.424836601307,7915.678816798908,14.248963025230282,-6545.444444444444,0.2730672955012976
