origin,target_month,horizon,model,actual,predicted
2022-10-01,2023-01-01,3,Holt-Winters (damped) [reference],34802,32977.53559706591
2022-10-01,2023-01-01,3,Seasonal Naive [reference],34802,21413.0
2022-10-01,2023-01-01,3,GAM,34802,32328.338656410422
2022-11-01,2022-12-01,1,Holt-Winters (damped) [reference],33209,32268.73038277989
2022-11-01,2022-12-01,1,Seasonal Naive [reference],33209,26427.0
2022-11-01,2022-12-01,1,GAM,33209,32124.46890959109
2022-11-01,2023-01-01,2,Holt-Winters (damped) [reference],34802,32642.29852917725
2022-11-01,2023-01-01,2,Seasonal Naive [reference],34802,21413.0
2022-11-01,2023-01-01,2,GAM,34802,33273.733939779464
2022-11-01,2023-02-01,3,Holt-Winters (damped) [reference],36525,33292.643575611415
2022-11-01,2023-02-01,3,Seasonal Naive [reference],36525,24719.0
2022-11-01,2023-02-01,3,GAM,36525,37154.38906188757
2022-12-01,2023-01-01,1,Holt-Winters (damped) [reference],34802,35150.86584724575
2022-12-01,2023-01-01,1,Seasonal Naive [reference],34802,21413.0
2022-12-01,2023-01-01,1,GAM,34802,33808.63000397489
2022-12-01,2023-02-01,2,Holt-Winters (damped) [reference],36525,34899.09318295955
2022-12-01,2023-02-01,2,Seasonal Naive [reference],36525,24719.0
2022-12-01,2023-02-01,2,GAM,36525,37649.45477623206
2022-12-01,2023-03-01,3,Holt-Winters (damped) [reference],43131,37243.68544806613
2022-12-01,2023-03-01,3,Seasonal Naive [reference],43131,31052.0
2022-12-01,2023-03-01,3,GAM,43131,42515.68846775724
2023-01-01,2023-02-01,1,Holt-Winters (damped) [reference],36525,34536.6674518432
2023-01-01,2023-02-01,1,Seasonal Naive [reference],36525,24719.0
2023-01-01,2023-02-01,1,GAM,36525,38172.733552774895
2023-01-01,2023-03-01,2,Holt-Winters (damped) [reference],43131,38181.82873034339
2023-01-01,2023-03-01,2,Seasonal Naive [reference],43131,31052.0
2023-01-01,2023-03-01,2,GAM,43131,43329.06119893979
2023-01-01,2023-04-01,3,Holt-Winters (damped) [reference],38065,37307.9165910873
2023-01-01,2023-04-01,3,Seasonal Naive [reference],38065,27436.0
2023-01-01,2023-04-01,3,GAM,38065,45259.073195438956
2023-02-01,2023-03-01,1,Holt-Winters (damped) [reference],43131,39196.17066683154
2023-02-01,2023-03-01,1,Seasonal Naive [reference],43131,31052.0
2023-02-01,2023-03-01,1,GAM,43131,41943.22681281877
2023-02-01,2023-04-01,2,Holt-Winters (damped) [reference],38065,38360.81554168135
2023-02-01,2023-04-01,2,Seasonal Naive [reference],38065,27436.0
2023-02-01,2023-04-01,2,GAM,38065,43856.94220291173
2023-02-01,2023-05-01,3,Holt-Winters (damped) [reference],44803,38711.34307798845
2023-02-01,2023-05-01,3,Seasonal Naive [reference],44803,29218.0
2023-02-01,2023-05-01,3,GAM,44803,44982.953331048324
2023-03-01,2023-04-01,1,Holt-Winters (damped) [reference],38065,40559.93196846187
2023-03-01,2023-04-01,1,Seasonal Naive [reference],38065,27436.0
2023-03-01,2023-04-01,1,GAM,38065,44549.77081455523
2023-03-01,2023-05-01,2,Holt-Winters (damped) [reference],44803,41790.19269526863
2023-03-01,2023-05-01,2,Seasonal Naive [reference],44803,29218.0
2023-03-01,2023-05-01,2,GAM,44803,45579.960334489246
2023-03-01,2023-06-01,3,Holt-Winters (damped) [reference],44020,42969.93136152068
2023-03-01,2023-06-01,3,Seasonal Naive [reference],44020,33199.0
2023-03-01,2023-06-01,3,GAM,44020,45829.421239952804
2023-04-01,2023-05-01,1,Holt-Winters (damped) [reference],44803,39656.13566072595
2023-04-01,2023-05-01,1,Seasonal Naive [reference],44803,29218.0
2023-04-01,2023-05-01,1,GAM,44803,42837.31162868466
2023-04-01,2023-06-01,2,Holt-Winters (damped) [reference],44020,41485.0044146124
2023-04-01,2023-06-01,2,Seasonal Naive [reference],44020,33199.0
2023-04-01,2023-06-01,2,GAM,44020,42507.43271704797
2023-04-01,2023-07-01,3,Holt-Winters (damped) [reference],36637,40252.10792230998
2023-04-01,2023-07-01,3,Seasonal Naive [reference],36637,30405.0
2023-04-01,2023-07-01,3,GAM,36637,43462.81538256509
2023-05-01,2023-06-01,1,Holt-Winters (damped) [reference],44020,44384.06597144952
2023-05-01,2023-06-01,1,Seasonal Naive [reference],44020,33199.0
2023-05-01,2023-06-01,1,GAM,44020,43122.656784568855
2023-05-01,2023-07-01,2,Holt-Winters (damped) [reference],36637,44301.778284036416
2023-05-01,2023-07-01,2,Seasonal Naive [reference],36637,30405.0
2023-05-01,2023-07-01,2,GAM,36637,43979.0284595059
2023-05-01,2023-08-01,3,Holt-Winters (damped) [reference],47222,45978.56253261267
2023-05-01,2023-08-01,3,Seasonal Naive [reference],47222,33811.0
2023-05-01,2023-08-01,3,GAM,47222,47171.0746654686
2023-06-01,2023-07-01,1,Holt-Winters (damped) [reference],36637,44101.61388591127
2023-06-01,2023-07-01,1,Seasonal Naive [reference],36637,30405.0
2023-06-01,2023-07-01,1,GAM,36637,44362.904017419336
2023-06-01,2023-08-01,2,Holt-Winters (damped) [reference],47222,45727.64188812514
2023-06-01,2023-08-01,2,Seasonal Naive [reference],47222,33811.0
2023-06-01,2023-08-01,2,GAM,47222,47467.99512815324
2023-06-01,2023-09-01,3,Holt-Winters (damped) [reference],42819,47311.41535813572
2023-06-01,2023-09-01,3,Seasonal Naive [reference],42819,34266.0
2023-06-01,2023-09-01,3,GAM,42819,45614.42788814948
2023-07-01,2023-08-01,1,Holt-Winters (damped) [reference],47222,40973.25866518911
2023-07-01,2023-08-01,1,Seasonal Naive [reference],47222,33811.0
2023-07-01,2023-08-01,1,GAM,47222,44892.04844737316
2023-07-01,2023-09-01,2,Holt-Winters (damped) [reference],42819,42291.54096244288
2023-07-01,2023-09-01,2,Seasonal Naive [reference],42819,34266.0
2023-07-01,2023-09-01,2,GAM,42819,43194.586891377214
2023-07-01,2023-10-01,3,Holt-Winters (damped) [reference],46159,42909.294601354704
2023-07-01,2023-10-01,3,Seasonal Naive [reference],46159,33128.0
2023-07-01,2023-10-01,3,GAM,46159,46342.20413770844
2023-08-01,2023-09-01,1,Holt-Winters (damped) [reference],42819,45484.13106966448
2023-08-01,2023-09-01,1,Seasonal Naive [reference],42819,34266.0
2023-08-01,2023-09-01,1,GAM,42819,43691.51949769985
2023-08-01,2023-10-01,2,Holt-Winters (damped) [reference],46159,46088.544849065365
2023-08-01,2023-10-01,2,Seasonal Naive [reference],46159,33128.0
2023-08-01,2023-10-01,2,GAM,46159,46711.61439155215
2023-08-01,2023-11-01,3,Holt-Winters (damped) [reference],49783,47707.199574938655
2023-08-01,2023-11-01,3,Seasonal Naive [reference],49783,37554.0
2023-08-01,2023-11-01,3,GAM,49783,46610.92690440007
2023-09-01,2023-10-01,1,Holt-Winters (damped) [reference],46159,44465.25715063804
2023-09-01,2023-10-01,1,Seasonal Naive [reference],46159,33128.0
2023-09-01,2023-10-01,1,GAM,46159,46479.656398961604
2023-09-01,2023-11-01,2,Holt-Winters (damped) [reference],49783,45837.4097162142
2023-09-01,2023-11-01,2,Seasonal Naive [reference],49783,37554.0
2023-09-01,2023-11-01,2,GAM,49783,46442.10898017749
2023-09-01,2023-12-01,3,Holt-Winters (damped) [reference],39378,42007.15782894778
2023-09-01,2023-12-01,3,Seasonal Naive [reference],39378,33209.0
2023-09-01,2023-12-01,3,GAM,39378,41416.26141669335
2023-10-01,2023-11-01,1,Holt-Winters (damped) [reference],49783,46700.670295072276
2023-10-01,2023-11-01,1,Seasonal Naive [reference],49783,37554.0
2023-10-01,2023-11-01,1,GAM,49783,46379.66583611541
2023-10-01,2023-12-01,2,Holt-Winters (damped) [reference],39378,42976.56252356331
2023-10-01,2023-12-01,2,Seasonal Naive [reference],39378,33209.0
2023-10-01,2023-12-01,2,GAM,39378,41374.94613592822
2023-10-01,2024-01-01,3,Holt-Winters (damped) [reference],45630,43464.986240544335
2023-10-01,2024-01-01,3,Seasonal Naive [reference],45630,34802.0
2023-10-01,2024-01-01,3,GAM,45630,42061.87676287228
2023-11-01,2023-12-01,1,Holt-Winters (damped) [reference],39378,44556.4196761705
2023-11-01,2023-12-01,1,Seasonal Naive [reference],39378,33209.0
2023-11-01,2023-12-01,1,GAM,39378,42007.762150436974
2023-11-01,2024-01-01,2,Holt-Winters (damped) [reference],45630,45324.99794801525
