origin,target_month,horizon,model,actual,predicted
2022-08-01,2022-09-01,1,Holt-Winters (damped) [reference],34266,32556.24763787063
2022-08-01,2022-09-01,1,Seasonal Naive [reference],34266,31899.0
2022-08-01,2022-09-01,1,Naive [reference],34266,33811.0
2022-08-01,2022-09-01,1,Ridge Regression (10 Indicators),34266,32821.792995517746
2022-08-01,2022-10-01,2,Holt-Winters (damped) [reference],33128,34476.370414233854
2022-08-01,2022-10-01,2,Seasonal Naive [reference],33128,29641.0
2022-08-01,2022-10-01,2,Naive [reference],33128,33811.0
2022-08-01,2022-10-01,2,Ridge Regression (10 Indicators),33128,31670.996171709092
2022-08-01,2022-11-01,3,Holt-Winters (damped) [reference],37554,35390.28299093257
2022-08-01,2022-11-01,3,Seasonal Naive [reference],37554,29315.0
2022-08-01,2022-11-01,3,Naive [reference],37554,33811.0
2022-08-01,2022-11-01,3,Ridge Regression (10 Indicators),37554,31726.32146237726
2022-09-01,2022-10-01,1,Holt-Winters (damped) [reference],33128,35405.87149748685
2022-09-01,2022-10-01,1,Seasonal Naive [reference],33128,29641.0
2022-09-01,2022-10-01,1,Naive [reference],33128,34266.0
2022-09-01,2022-10-01,1,Ridge Regression (10 Indicators),33128,32240.794232624903
2022-09-01,2022-11-01,2,Holt-Winters (damped) [reference],37554,36345.41714577722
2022-09-01,2022-11-01,2,Seasonal Naive [reference],37554,29315.0
2022-09-01,2022-11-01,2,Naive [reference],37554,34266.0
2022-09-01,2022-11-01,2,Ridge Regression (10 Indicators),37554,32318.89488259864
2022-09-01,2022-12-01,3,Holt-Winters (damped) [reference],33209,32315.874994594476
2022-09-01,2022-12-01,3,Seasonal Naive [reference],33209,26427.0
2022-09-01,2022-12-01,3,Naive [reference],33209,34266.0
2022-09-01,2022-12-01,3,Ridge Regression (10 Indicators),33209,32357.05866142312
2022-10-01,2022-11-01,1,Holt-Winters (damped) [reference],37554,34956.93064403769
2022-10-01,2022-11-01,1,Seasonal Naive [reference],37554,29315.0
2022-10-01,2022-11-01,1,Naive [reference],37554,33128.0
2022-10-01,2022-11-01,1,Ridge Regression (10 Indicators),37554,32600.31843796708
2022-10-01,2022-12-01,2,Holt-Winters (damped) [reference],33209,30815.295087442682
2022-10-01,2022-12-01,2,Seasonal Naive [reference],33209,26427.0
2022-10-01,2022-12-01,2,Naive [reference],33209,33128.0
2022-10-01,2022-12-01,2,Ridge Regression (10 Indicators),33209,32705.56873478143
2022-10-01,2023-01-01,3,Holt-Winters (damped) [reference],34802,32977.53559706591
2022-10-01,2023-01-01,3,Seasonal Naive [reference],34802,21413.0
2022-10-01,2023-01-01,3,Naive [reference],34802,33128.0
2022-10-01,2023-01-01,3,Ridge Regression (10 Indicators),34802,29255.434285570118
2022-11-01,2022-12-01,1,Holt-Winters (damped) [reference],33209,32268.73038277989
2022-11-01,2022-12-01,1,Seasonal Naive [reference],33209,26427.0
2022-11-01,2022-12-01,1,Naive [reference],33209,37554.0
2022-11-01,2022-12-01,1,Ridge Regression (10 Indicators),33209,34493.10576503889
2022-11-01,2023-01-01,2,Holt-Winters (damped) [reference],34802,32642.29852917725
2022-11-01,2023-01-01,2,Seasonal Naive [reference],34802,21413.0
2022-11-01,2023-01-01,2,Naive [reference],34802,37554.0
2022-11-01,2023-01-01,2,Ridge Regression (10 Indicators),34802,30623.36406957762
2022-11-01,2023-02-01,3,Holt-Winters (damped) [reference],36525,33292.643575611415
2022-11-01,2023-02-01,3,Seasonal Naive [reference],36525,24719.0
2022-11-01,2023-02-01,3,Naive [reference],36525,37554.0
2022-11-01,2023-02-01,3,Ridge Regression (10 Indicators),36525,32862.44346890123
2022-12-01,2023-01-01,1,Holt-Winters (damped) [reference],34802,35150.86584724575
2022-12-01,2023-01-01,1,Seasonal Naive [reference],34802,21413.0
2022-12-01,2023-01-01,1,Naive [reference],34802,33209.0
2022-12-01,2023-01-01,1,Ridge Regression (10 Indicators),34802,30026.14152180336
2022-12-01,2023-02-01,2,Holt-Winters (damped) [reference],36525,34899.09318295955
2022-12-01,2023-02-01,2,Seasonal Naive [reference],36525,24719.0
2022-12-01,2023-02-01,2,Naive [reference],36525,33209.0
2022-12-01,2023-02-01,2,Ridge Regression (10 Indicators),36525,32198.446442142184
2022-12-01,2023-03-01,3,Holt-Winters (damped) [reference],43131,37243.68544806613
2022-12-01,2023-03-01,3,Seasonal Naive [reference],43131,31052.0
2022-12-01,2023-03-01,3,Naive [reference],43131,33209.0
2022-12-01,2023-03-01,3,Ridge Regression (10 Indicators),43131,34928.156426943824
2023-01-01,2023-02-01,1,Holt-Winters (damped) [reference],36525,34536.6674518432
2023-01-01,2023-02-01,1,Seasonal Naive [reference],36525,24719.0
2023-01-01,2023-02-01,1,Naive [reference],36525,34802.0
2023-01-01,2023-02-01,1,Ridge Regression (10 Indicators),36525,34338.37733819519
2023-01-01,2023-03-01,2,Holt-Winters (damped) [reference],43131,38181.82873034339
2023-01-01,2023-03-01,2,Seasonal Naive [reference],43131,31052.0
2023-01-01,2023-03-01,2,Naive [reference],43131,34802.0
2023-01-01,2023-03-01,2,Ridge Regression (10 Indicators),43131,36741.44091577975
2023-01-01,2023-04-01,3,Holt-Winters (damped) [reference],38065,37307.9165910873
2023-01-01,2023-04-01,3,Seasonal Naive [reference],38065,27436.0
2023-01-01,2023-04-01,3,Naive [reference],38065,34802.0
2023-01-01,2023-04-01,3,Ridge Regression (10 Indicators),38065,36191.084924570154
2023-02-01,2023-03-01,1,Holt-Winters (damped) [reference],43131,39196.17066683154
2023-02-01,2023-03-01,1,Seasonal Naive [reference],43131,31052.0
2023-02-01,2023-03-01,1,Naive [reference],43131,36525.0
2023-02-01,2023-03-01,1,Ridge Regression (10 Indicators),43131,37474.824846551775
2023-02-01,2023-04-01,2,Holt-Winters (damped) [reference],38065,38360.81554168135
2023-02-01,2023-04-01,2,Seasonal Naive [reference],38065,27436.0
2023-02-01,2023-04-01,2,Naive [reference],38065,36525.0
2023-02-01,2023-04-01,2,Ridge Regression (10 Indicators),38065,37177.20146753991
2023-02-01,2023-05-01,3,Holt-Winters (damped) [reference],44803,38711.34307798845
2023-02-01,2023-05-01,3,Seasonal Naive [reference],44803,29218.0
2023-02-01,2023-05-01,3,Naive [reference],44803,36525.0
2023-02-01,2023-05-01,3,Ridge Regression (10 Indicators),44803,37963.43880525208
2023-03-01,2023-04-01,1,Holt-Winters (damped) [reference],38065,40559.93196846187
2023-03-01,2023-04-01,1,Seasonal Naive [reference],38065,27436.0
2023-03-01,2023-04-01,1,Naive [reference],38065,43131.0
2023-03-01,2023-04-01,1,Ridge Regression (10 Indicators),38065,39204.3207627672
2023-03-01,2023-05-01,2,Holt-Winters (damped) [reference],44803,41790.19269526863
2023-03-01,2023-05-01,2,Seasonal Naive [reference],44803,29218.0
2023-03-01,2023-05-01,2,Naive [reference],44803,43131.0
2023-03-01,2023-05-01,2,Ridge Regression (10 Indicators),44803,40380.89767191612
2023-03-01,2023-06-01,3,Holt-Winters (damped) [reference],44020,42969.93136152068
2023-03-01,2023-06-01,3,Seasonal Naive [reference],44020,33199.0
2023-03-01,2023-06-01,3,Naive [reference],44020,43131.0
2023-03-01,2023-06-01,3,Ridge Regression (10 Indicators),44020,42682.94188130301
2023-04-01,2023-05-01,1,Holt-Winters (damped) [reference],44803,39656.13566072595
2023-04-01,2023-05-01,1,Seasonal Naive [reference],44803,29218.0
2023-04-01,2023-05-01,1,Naive [reference],44803,38065.0
2023-04-01,2023-05-01,1,Ridge Regression (10 Indicators),44803,39983.773383338324
2023-04-01,2023-06-01,2,Holt-Winters (damped) [reference],44020,41485.0044146124
2023-04-01,2023-06-01,2,Seasonal Naive [reference],44020,33199.0
2023-04-01,2023-06-01,2,Naive [reference],44020,38065.0
2023-04-01,2023-06-01,2,Ridge Regression (10 Indicators),44020,42161.03661887582
2023-04-01,2023-07-01,3,Holt-Winters (damped) [reference],36637,40252.10792230998
2023-04-01,2023-07-01,3,Seasonal Naive [reference],36637,30405.0
2023-04-01,2023-07-01,3,Naive [reference],36637,38065.0
