feature,std_coefficient,abs_std_coefficient
trend,14181.283491808092,14181.283491808092
ow_beneficiaries_lag1,-2967.4425918180305,2967.4425918180305
cpi_all_items_lag1,-2170.219597334179,2170.219597334179
month_cos,-1390.8960755112062,1390.8960755112062
unemployment_rate_lag1,-1323.4086711817667,1323.4086711817667
odsp_beneficiaries_lag1,-1219.3327045876838,1219.3327045876838
cpi_shelter_lag1,698.6088663976868,698.6088663976868
total_homeless_lag1,507.56672410617347,507.56672410617347
month_sin,-417.3625603766788,417.3625603766788
cpi_food_lag1,289.0378542941906,289.0378542941906
