model,n_forecasts,MAE,RMSE,WAPE_%,Bias,R2
Holt-Winters (damped),153,2771.4077155096525,3322.0707468539536,5.995617811758439,-405.25060972037215,0.8719629575622891
SARIMAX,117,3353.502327095207,4145.9353714770905,6.746955859484867,-866.7496806605536,0.6954294612968417
Linear Trend + Exog,153,3807.662228785063,4575.908953358332,8.237433760577279,-2579.503268155754,0.7570747662667207
Ridge (All Socioeconomic Indicators),153,3862.5039834707986,4607.631406533306,8.356077509521818,-2066.0745513555025,0.7536949368328569
Naive,153,4120.803921568628,5122.61250941047,8.914879341878933,-1343.1437908496732,0.6955605762554914
Seasonal Naive,153,6586.424836601307,7915.678816798908,14.248963025230282,-6545.444444444444,0.2730672955012976
